ROI number	x	y	z	Net. Name	Net. WB Label	Peak Prob.
87	11	30	24	Salience	8	86.957
88	20	33	42	Default Mode	1	94.203
89	21	27	50	Default Mode	1	97.101
90	26	-39	-11	Parieto-occipital	16	95.652
91	44	-55	28	Default Mode	1	94.203
92	49	-61	34	Default Mode	1	98.551
93	62	-15	-15	Default Mode	1	97.101
94	4	-27	30	Parieto-medial	15	97.101
95	-41	-75	-12	Visual	2	98.551
96	-40	-76	-2	Visual	2	94.203
97	-38	-87	-9	Visual	2	98.551
98	-31	-78	-15	Visual	2	100
99	-27	-79	16	Visual	2	91.304
100	-25	-89	0	Visual	2	100
101	-23	-90	15	Visual	2	100
102	-17	-68	3	Visual	2	100
103	-16	-77	30	Visual	2	95.652
104	-15	-53	-2	Visual	2	98.551
105	-14	-72	-9	Visual	2	100
106	-14	-90	27	Visual	2	100
107	-8	-80	5	Visual	2	100
108	-3	-81	18	Visual	2	100
109	5	-75	21	Visual	2	97.101
110	6	-81	4	Visual	2	100
111	8	-72	9	Visual	2	100
112	14	-87	33	Visual	2	100
113	14	-77	28	Visual	2	98.551
114	17	-48	-9	Visual	2	100
115	19	-66	1	Visual	2	100
116	19	-85	-4	Visual	2	100
117	23	-87	21	Visual	2	100
118	25	-79	-16	Visual	2	100
119	26	-60	-9	Visual	2	100
120	27	-77	23	Visual	2	98.551
121	35	-84	11	Visual	2	98.551
122	35	-81	0	Visual	2	100
123	35	-73	13	Visual	2	91.304
124	40	-66	-8	Visual	2	92.754
125	41	-78	-12	Visual	2	98.551
126	-49.5	-50	39	Fronto-parietal	3	88.406
127	-41	-56	41	Fronto-parietal	3	91.304
128	-41	20	31	Fronto-parietal	3	85.507
129	-40	40	2	Fronto-parietal	3	88.406
130	-4	21	49	Fronto-parietal	3	84.058
131	35	-66	38	Fronto-parietal	3	85.507
132	40.5	37	20	Fronto-parietal	3	82.609
133	41	-55	45	Fronto-parietal	3	92.754
134	41	43	4	Fronto-parietal	3	91.304
135	45	22	30	Fronto-parietal	3	85.507
136	46	-45	44	Fronto-parietal	3	94.203
137	-34	16	6	Cingulo-opercular	9	89.855
138	-2	10	45	Cingulo-opercular	9	95.652
139	4	15	39	Cingulo-opercular	9	100
140	4.5	17	30	Cingulo-opercular	9	89.855
141	32	12	-6	Salience	8	89.855
142	34	17	7	Cingulo-opercular	9	84.058
143	-53	-38	12	Auditory	12	88.406
144	-50	21	2	Language	7	84.058
145	49	-32	9	Auditory	12	95.652
146	49	-31	-2	Language	7	84.058
147	-43	-60	-10	Dorsal Attention	5	82.609
148	-32	-48	44	Dorsal Attention	5	86.957
149	-17	-60	60	Dorsal Attention	5	86.957
150	11	-63	57	Dorsal Attention	5	97.101
151	20	-66	48	Dorsal Attention	5	79.71
152	23	-60	57	Dorsal Attention	5	82.609
153	26	-9	54	Dorsal Attention	5	86.957
