x	y	z	Net. Name	Net. WB Label	Peak prob.
-25	-41	-8	Parieto-occipital	16	95.652
-20	39	42	Default Mode	1	94.203
-20	57	24	Default Mode	1	89.855
-17	23	54	Default Mode	1	89.855
-12	-41	1	Parieto-occipital	16	86.957
-11	33	54	Default Mode	1	95.652
-11	48	42	Default Mode	1	92.754
-11	36	12	Salience	8	94.203
-8	42	27	Default Mode	1	94.203
-7	-56	25	Default Mode	1	100.000
-4	45	4	Default Mode	1	85.507
-3	-53	12	Default Mode	1	95.652
-3	42	-4	Default Mode	1	82.609
-3	36	20	Salience	8	97.101
5	60	3	Default Mode	1	100.000
5	-60	33	Default Mode	1	95.652
5	48	21	Default Mode	1	97.101
5	57	27	Default Mode	1	98.551
7	-50	29	Default Mode	1	97.101
5	48	9	Default Mode	1	86.957
13	-55	16	Parieto-occipital	16	91.304
11	48	42	Default Mode	1	88.406
11	24	60	Default Mode	1	91.304
11	30	24	Salience	8	86.957
20	33	42	Default Mode	1	89.855
21	27	50	Default Mode	1	97.101
26	-39	-11	Parieto-occipital	16	94.203
44	-55	28	Default Mode	1	94.203
49	-61	34	Default Mode	1	98.551
62	-15	-15	Default Mode	1	95.652
4	-27	30	Parieto-medial	15	97.101
-41	-75	-12	Visual	2	98.551
-40	-76	-2	Visual	2	94.203
-38	-87	-9	Visual	2	98.551
-31	-78	-15	Visual	2	100.000
-27	-79	16	Visual	2	91.304
-25	-89	0	Visual	2	100.000
-23	-90	15	Visual	2	100.000
-17	-68	3	Visual	2	100.000
-16	-77	30	Visual	2	95.652
-15	-53	-2	Visual	2	98.551
-14	-72	-9	Visual	2	100.000
-14	-90	27	Visual	2	100.000
-8	-80	5	Visual	2	100.000
-3	-81	18	Visual	2	100.000
5	-75	21	Visual	2	97.101
6	-81	4	Visual	2	100.000
8	-72	9	Visual	2	100.000
14	-87	33	Visual	2	100.000
14	-77	28	Visual	2	98.551
17	-48	-9	Visual	2	98.551
19	-66	1	Visual	2	100.000
19	-85	-4	Visual	2	100.000
23	-87	21	Visual	2	100.000
25	-79	-16	Visual	2	100.000
26	-60	-9	Visual	2	100.000
27	-77	23	Visual	2	98.551
35	-84	11	Visual	2	98.551
35	-81	0	Visual	2	100.000
35	-73	13	Visual	2	91.304
40	-66	-8	Visual	2	92.754
41	-78	-12	Visual	2	98.551
-49.5	-50	39	Fronto-parietal	3	89.855
-41	-56	41	Fronto-parietal	3	91.304
-41	20	31	Fronto-parietal	3	85.507
-40	40	2	Fronto-parietal	3	86.957
-4	21	49	Fronto-parietal	3	84.058
35	-66	38	Fronto-parietal	3	85.507
40.5	37	20	Fronto-parietal	3	81.159
41	-55	45	Fronto-parietal	3	94.203
41	43	4	Fronto-parietal	3	92.754
45	22	30	Fronto-parietal	3	85.507
46	-45	44	Fronto-parietal	3	94.203
-34	16	6	Cingulo-opercular	9	88.406
-2	10	45	Cingulo-opercular	9	94.203
4	15	39	Cingulo-opercular	9	100.000
4.5	17	30	Cingulo-opercular	9	89.855
32	12	-6	Salience	8	92.754
34	17	7	Cingulo-opercular	9	84.058
-53	-38	12	Auditory	12	91.304
-50	21	2	Ventral Attention	7	86.957
49	-32	9	Auditory	12	95.652
49	-31	-2	Ventral Attention	7	85.507
-43	-60	-10	Dorsal Attention	5	82.609
-32	-48	44	Dorsal Attention	5	86.957
-17	-60	60	Dorsal Attention	5	86.957
11	-63	57	Dorsal Attention	5	97.101
20	-66	48	Dorsal Attention	5	79.710
23	-60	57	Dorsal Attention	5	82.609
26	-9	54	Dorsal Attention	5	86.957
